model,n,auc_mean,auc_sd,accuracy_mean,balanced_accuracy_mean,f1_mean
Regularized logistic,2461,0.8773761092816855,0.016828733306331674,0.7793631161463745,0.797818361347441,0.8109843493546152
Random forest,2461,0.8635624824505618,0.016964239377266013,0.7858589356684642,0.7902766724828425,0.8234604479003609
Gradient boosting,2461,0.8649499216935475,0.018184732365444503,0.781398934679002,0.7356685014350834,0.8405953656796037
