term,coef,se,p,ci_low,ci_high
Intercept,-2.42861286636753e-16,0.032851600438253754,0.9999999999999941,-0.06438795369347786,0.06438795369347738
TR,0.2561442830798022,0.05959779476007497,1.7243799666181374e-05,0.1393347517920453,0.3729538143675591
PE,0.2120370840175667,0.06429286154282804,0.0009738030591314532,0.08602539093060346,0.33804877710452996
SI,-0.04667864275908967,0.05168469281225171,0.36645026949198045,-0.14797877922311922,0.05462149370493988
FL,-0.02780393567954067,0.042753038863113615,0.5154737668689743,-0.11159835208088462,0.05599048072180327
IQ,0.3182594279679396,0.060992411034444485,1.8084902408896312e-07,0.19871649901016503,0.4378023569257142
AA,0.14544172508305964,0.06774347137392307,0.03179740436642899,0.012666961002450294,0.278216489163669
