model,n,auc_mean,auc_sd,accuracy_mean,balanced_accuracy_mean,f1_mean
Regularized logistic,428,0.6219594594594595,0.07829963448678637,0.5773734610123119,0.57816204362257,0.5505608579165966
Random forest,428,0.6840030820293979,0.06512348160278833,0.6263474692202463,0.6230796586059745,0.5829452008399376
Gradient boosting,428,0.6633105144618303,0.06711606800303846,0.6332421340629276,0.6160798956851589,0.528012955503976
