term,coef,se,p,ci_low,ci_high
Intercept,5.551115123125783e-17,0.03772335254391186,0.9999999999999988,-0.07393641236217462,0.07393641236217473
SR,0.5989329698157386,0.043922907309434885,2.445988611249205e-42,0.5128456533929552,0.6850202862385221
AA,0.045076791317355015,0.04917847948672201,0.3593544480025139,-0.05131125729106196,0.141464839925772
IQ,-0.045458063468723796,0.06434195533056619,0.47987269208937566,-0.17156597861151848,0.08064985167407088
FL,0.09297738250255508,0.042488068954245506,0.02864648702695248,0.009702297579579494,0.17625246742553066
TR,-0.07279903901446061,0.07001442538049173,0.29844584126733786,-0.21002479115849146,0.06442671312957024
