study,target,model,auc_mean,accuracy_mean,balanced_accuracy_mean,f1_mean
Study 2,High willingness,Regularized logistic,0.8576483422197707,0.8156497948016416,0.8088456824171111,0.8409879124312114
Study 2,High willingness,Random forest,0.8856143899001042,0.825061559507524,0.8197250107250108,0.8486300227960941
Study 2,High willingness,Gradient boosting,0.880889746889747,0.8203830369357045,0.8136985352699639,0.8455720768150904
Study 2,Reported use,Regularized logistic,0.6219594594594595,0.5773734610123119,0.57816204362257,0.5505608579165966
Study 2,Reported use,Random forest,0.6840030820293979,0.6263474692202463,0.6230796586059745,0.5829452008399376
Study 2,Reported use,Gradient boosting,0.6633105144618303,0.6332421340629276,0.6160798956851589,0.528012955503976
Study 3,Digital trading,Regularized logistic,0.8773761092816855,0.7793631161463745,0.797818361347441,0.8109843493546152
Study 3,Digital trading,Random forest,0.8635624824505618,0.7858589356684642,0.7902766724828425,0.8234604479003609
Study 3,Digital trading,Gradient boosting,0.8649499216935475,0.781398934679002,0.7356685014350834,0.8405953656796037
