model,n,auc_mean,auc_sd,accuracy_mean,balanced_accuracy_mean,f1_mean
Regularized logistic,428,0.8576483422197707,0.05805347185367041,0.8156497948016416,0.8088456824171111,0.8409879124312114
Random forest,428,0.8856143899001042,0.04586158792256679,0.825061559507524,0.8197250107250108,0.8486300227960941
Gradient boosting,428,0.880889746889747,0.05600429829477156,0.8203830369357045,0.8136985352699639,0.8455720768150904
